,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,CATEGORY,Count - Low,Count - Moderate,Count - High,Total Time -Low,Total Time -Moderate,Total Time -High,Avg Time Low,Avg Time Moderate,Avg Time High
0,0,0,0,0,0,0,0,Animals / Pets,876,3430,672,11856.0,34004.0,5032.0,13.534246575342467,9.913702623906705,7.488095238095238
1,1,1,1,1,1,1,1,Capital Projects,41,300,125,1703.0,11998.0,5227.0,41.53658536585366,39.99333333333333,41.816
2,2,2,2,2,2,2,2,City Facilities,2,20,4,203.0,1413.0,15.0,101.5,70.65,3.75
3,3,3,3,3,3,3,3,Data Not Available,5,14,3,400.0,606.0,2.0,80.0,43.285714285714285,0.6666666666666666
4,4,4,4,4,4,4,4,Government,28,299,72,517.0,3543.0,566.0,18.464285714285715,11.849498327759198,7.861111111111111
5,5,5,5,5,5,5,5,Lights / Signals,229,1634,801,1394.0,13305.0,5080.0,6.0873362445414845,8.142594859241125,6.34207240948814
6,6,6,6,6,6,6,6,Mowing / Weeds,288,1184,246,24128.0,93181.0,18966.0,83.77777777777777,78.70016891891892,77.09756097560975
7,7,7,7,7,7,7,7,Parks & Recreation,61,327,79,1539.0,8583.0,1870.0,25.229508196721312,26.24770642201835,23.670886075949365
8,8,8,8,8,8,8,8,Property / Buildings / Construction,958,5487,815,62313.0,360537.0,48203.0,65.04488517745303,65.70749043193001,59.14478527607362
9,9,9,9,9,9,9,9,Public Health,231,1060,141,4109.0,17524.0,1391.0,17.78787878787879,16.532075471698114,9.865248226950355
10,10,10,10,10,10,10,10,Public Safety,40,160,12,1149.0,4337.0,544.0,28.725,27.10625,45.333333333333336
11,11,11,11,11,11,11,11,Sidewalks / Curbs / Ditch,47,456,272,924.0,6859.0,3675.0,19.659574468085108,15.041666666666666,13.511029411764707
12,12,12,12,12,12,12,12,Signs,150,907,374,1440.0,18387.0,6714.0,9.6,20.272326350606395,17.951871657754012
13,13,13,13,13,13,13,13,Storm Water / Sewer,253,1509,471,7278.0,41734.0,14208.0,28.766798418972332,27.656726308813784,30.1656050955414
14,14,14,14,14,14,14,14,Streets / Roadways / Alleys,755,6428,2967,17085.0,172339.0,76732.0,22.629139072847682,26.810672059738643,25.861813279406807
15,15,15,15,15,15,15,15,Trash / Recycling,2211,11565,4400,56216.0,236724.0,40125.0,25.425599276345544,20.46900129701686,9.119318181818182
