,CASEID,ADDRESS,NEIGH,NEIGH-Income,ZIP,POLICED,COUNCILD,SOURCE,Sum SOURCE ,CATEGORY,Sum CATEGORY ,DAYTOCLOSE,Sum DAYTOCLOSE,TYPE,CATTYPE,GROUP311,VIS_STREET,DEPT,WORKGRP,REQTYPE,DETAIL,CREATEDATE,CREATTIME,CREATEMO,CREATEYR,STATUS,EXCEEDTIME,CLOSEDATE,CLOSEMO,CLOSEYR,DAYTOCLOSE.1,ADDGEOC,COUNTY,Latitude,Longitude,APN,CASEURL
0,2019209213,3823 Myrtle Ave,Palestine East,L,64128,East,3,PHONE,4440,Animals / Pets,,1,1102,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Street,Street,12/26/2019,10:47 AM,12,2019,RESOL,N,12/27/2019,12.0,2019.0,1.0,"3823 Myrtle Ave64128
(39.055808, -94.537086)",Jackson,39.055808,-94.537086,28338,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019209213
578,2019196091,4007 E 53rd St,Swope Parkway-Elmwood,L,64130,Metro,5,PHONE,4440,Animals / Pets,,1,1102,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Street,Street,11/22/2019,1:39 PM,11,2019,RESOL,N,11/23/2019,11.0,2019.0,1.0,"4007 E 53rd St64130
(39.029366, -94.538511)",Jackson,39.029366,-94.538511,35824,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019196091
579,2019196113,6814 Bellefontaine Ave,Self Help Neighborhood Council,L,64132,Metro,5,PHONE,4440,Animals / Pets,,34,27,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-Inside Residence,Inside Home,11/22/2019,1:56 PM,11,2019,RESOL,Y,12/26/2019,12.0,2019.0,34.0,"6814 Bellefontaine Ave64132
(39.002671, -94.551179)",Jackson,39.002671,-94.551179,2836,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019196113
580,2019195736,5830 E 27th St,South Blue Valley,L,64129,East,3,PHONE,4440,Animals / Pets,,34,27,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-Inside Residence,Inside Home,11/22/2019,8:05 AM,11,2019,RESOL,Y,12/26/2019,12.0,2019.0,34.0,"5830 E 27th St64129
(39.076121, -94.514065)",Jackson,39.076121,-94.514065,21197,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019195736
581,2019196019,3001 E 31st St,Santa Fe,L,64128,East,3,PHONE,4440,Animals / Pets,,0,603,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-Injured,Injured,11/22/2019,12:33 PM,11,2019,RESOL,N,11/22/2019,11.0,2019.0,0.0,"3001 E 31st St64128
(39.069424, -94.548109)",Jackson,39.069424,-94.548109,25025,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019196019
582,2019164149,4601 E 12th St,East Community Team North,L,64127,East,3,EMAIL,248,Animals / Pets,,1,1102,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Curb,Curb,9/11/2019,9:00 AM,9,2019,RESOL,N,9/12/2019,9.0,2019.0,1.0,"4601 E 12th St64127
(39.096745, -94.529285)",Jackson,39.096745,-94.529285,8494,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019164149
583,2019206303,1600 Jackson Ave,East Community Team North,L,64127,East,3,PHONE,4440,Animals / Pets,,1,1102,Cruelty or Neglect,Animals / Pets Cruelty or Neglect,ANIMAL,NOT_VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Cruelty or Neglect-Abuse / Injury / Death,Abuse / Injury / Death,12/18/2019,6:11 PM,12,2019,RESOL,N,12/19/2019,12.0,2019.0,1.0,"1600 Jackson Ave64127
(39.093114, -94.533883)",Jackson,39.093114,-94.533883,11588,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019206303
584,2019207010,2929 E 29th St,Santa Fe,L,64128,East,3,PHONE,4440,Animals / Pets,,19,54,Wildlife,Animals / Pets Wildlife,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Wildlife-Inside,Inside,12/19/2019,2:15 PM,12,2019,RESOL,Y,1/7/2020,1.0,2020.0,19.0,"2929 E 29th St64128
(39.072232, -94.547476)",Jackson,39.072232,-94.547476,24877,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019207010
585,2019164537,2600 E Gregory Blvd,Self Help Neighborhood Council,L,64132,Metro,5,PHONE,4440,Animals / Pets,,5,258,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Non-Aggressive,At Large - Non-Aggressive,9/11/2019,3:09 PM,9,2019,RESOL,N,9/16/2019,9.0,2019.0,5.0,"2600 E Gregory Blvd64132
(38.998287, -94.556528)",Jackson,38.998287,-94.556528,3087,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019164537
586,2019164571,706 Chestnut Ave,Independence Plaza,L,64124,East,3,PHONE,4440,Animals / Pets,,2,503,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Non-Aggressive,At Large - Non-Aggressive,9/11/2019,3:53 PM,9,2019,RESOL,N,9/13/2019,9.0,2019.0,2.0,"706 Chestnut Ave64124
(39.104013, -94.5487)",Jackson,39.104013,-94.5487,10579,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019164571
587,2019164144,1012 Bales Ave,Lykins,L,64127,East,3,PHONE,4440,Animals / Pets,,0,603,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Non-Aggressive,At Large - Non-Aggressive,9/11/2019,8:56 AM,9,2019,RESOL,N,9/11/2019,9.0,2019.0,0.0,"1012 Bales Ave64127
(39.100295, -94.541509)",Jackson,39.100295,-94.541509,9971,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019164144
588,2019164192,2214 Cleveland Ave,East Community Team North,L,64127,East,3,PHONE,4440,Animals / Pets,,2,503,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-Confined,Confined,9/11/2019,9:46 AM,9,2019,RESOL,N,9/13/2019,9.0,2019.0,2.0,"2214 Cleveland Ave64127
(39.084619, -94.538683)",Jackson,39.084619,-94.538683,15135,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019164192
589,2019164066,5215 E 8th St,Lykins,L,64124,East,3,PHONE,4440,Animals / Pets,,5,258,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Owned,At Large - Owned,9/11/2019,7:44 AM,9,2019,RESOL,N,9/16/2019,9.0,2019.0,5.0,"5215 E 8th St64124
(39.1022, -94.520583)",Jackson,39.1022,-94.520583,7484,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019164066
590,2019164102,4845 Independence Ave,Lykins,L,64124,East,3,PHONE,4440,Animals / Pets,,0,603,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-Confined,Confined,9/11/2019,8:24 AM,9,2019,RESOL,N,9/11/2019,9.0,2019.0,0.0,"4845 Independence Ave64124
(39.105088, -94.523666)",Jackson,39.105088,-94.523666,7759,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019164102
591,2019164595,3325 Chestnut Ave,Oak Park Northwest,L,64128,East,3,PHONE,4440,Animals / Pets,,6,207,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-Inside Residence,Inside Home,9/11/2019,4:15 PM,9,2019,RESOL,N,9/17/2019,9.0,2019.0,6.0,"3325 Chestnut Ave64128
(39.065299, -94.55044)",Jackson,39.065299,-94.55044,25344,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019164595
592,2019164337,2822 Peery Ave,Independence Plaza,L,64127,East,3,PHONE,4440,Animals / Pets,,1,1102,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Curb,Curb,9/11/2019,11:52 AM,9,2019,RESOL,N,9/12/2019,9.0,2019.0,1.0,"2822 Peery Ave64127
(39.099901, -94.54808)",Jackson,39.099901,-94.54808,10764,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019164337
593,2019205614,3936 Mersington Ave,Vineyard Northwest,L,64130,East,3,PHONE,4440,Animals / Pets,,0,603,Cruelty or Neglect,Animals / Pets Cruelty or Neglect,ANIMAL,NOT_VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Cruelty or Neglect-Shelter / Food / Water,Shelter / Food / Water,12/18/2019,10:24 AM,12,2019,RESOL,N,12/18/2019,12.0,2019.0,0.0,"3936 Mersington Ave64130
(39.053662, -94.538879)",Jackson,39.053662,-94.538879,30500,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019205614
594,2020029221,5700 Norton Ave,Swope Parkway-Elmwood,L,64130,Metro,5,EMAIL,248,Animals / Pets,,0,603,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Non-Aggressive,At Large - Non-Aggressive,2/26/2020,5:12 PM,2,2020,RESOL,N,2/26/2020,2.0,2020.0,0.0,"5700 Norton Ave64130
(39.022165, -94.538423)",Jackson,39.022165,-94.538423,37309,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020029221
595,2019167608,4918 College Ave,North Town Fork Creek,L,64130,Metro,3,PHONE,4440,Animals / Pets,,1,1102,Wildlife,Animals / Pets Wildlife,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Wildlife-Injured,Injured,9/18/2019,7:08 AM,9,2019,RESOL,N,9/19/2019,9.0,2019.0,1.0,"4918 College Ave64130
(39.036445, -94.546812)",Jackson,39.036445,-94.546812,35217,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019167608
596,2019198714,5628 E 31st St,South Blue Valley,L,64128,East,3,WEB,1030,Animals / Pets,,2,503,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Private Property Pickup,Private Property Pickup,12/2/2019,6:15 PM,12,2019,RESOL,N,12/4/2019,12.0,2019.0,2.0,"5628 E 31st St64128
(39.068966, -94.517007)",Jackson,39.068966,-94.517007,22072,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019198714
597,2020000322,2804 Oakley Ave,South Blue Valley,L,64128,East,3,PHONE,4440,Animals / Pets,,4,337,Rat Treatment,Animals / Pets Rat Treatment,ANIMAL,NOT_VISIBLE,Health,Health-Rat-,Animals / Pets-Rat Treatment-Inside Residence,Inside Home,1/2/2020,9:44 AM,1,2020,RESOL,N,1/6/2020,1.0,2020.0,4.0,"2804 Oakley Ave64128
(39.074341, -94.51828)",Jackson,39.074341,-94.51828,21568,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020000322
598,2019200656,2000 E 18th St,18th And Vine And Downtown East,L,64127,Central,3,PHONE,4440,Animals / Pets,,1,1102,Dead Animal,Animals / Pets Dead Animal,ANIMAL,VISIBLE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Curb,Curb,12/6/2019,11:33 AM,12,2019,RESOL,N,12/7/2019,12.0,2019.0,1.0,"2000 E 18th St64127
(39.091444, -94.558106)",Jackson,39.091444,-94.558106,12969,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019200656
