,CASEID,ADDRESS,NEIGH,NEIGH-Income,ZIP,POLICED,COUNCILD,SOURCE,Sum SOURCE ,CATEGORY,Sum CATEGORY ,DAYTOCLOSE,Sum DAYTOCLOSE,TYPE,CATTYPE,GROUP311,VIS_STREET,DEPT,WORKGRP,REQTYPE,DETAIL,CREATEDATE,CREATTIME,CREATEMO,CREATEYR,STATUS,EXCEEDTIME,CLOSEDATE,CLOSEMO,CLOSEYR,DAYTOCLOSE.1,ADDGEOC,COUNTY,Latitude,Longitude,APN,CASEURL
18,2020030893,2516 E Truman Rd,18th And Vine And Downtown East,L,64127,East,3,WEB,1030,Property / Buildings / Construction,,10,59,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,2/29/2020,10:51 AM,2,2020,RESOL,Y,3/10/2020,3,2020,10,"2516 E Truman Rd64127
(39.095084, -94.551881)",Jackson,39.095084,-94.551881,12511,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030893
33,2020030896,6939 Bellefontaine Ave,Self Help Neighborhood Council,L,64132,Metro,5,PHONE,4440,Storm Water / Sewer,,3,467,Sewer Backup / Leak,Storm Water / Sewer Sewer Backup / Leak,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Wastewater,Sewer-Sewer Backup / Leak-In a house,In A House,2/29/2020,11:46 AM,2,2020,RESOL,N,3/3/2020,3,2020,3,"6939 Bellefontaine Ave64132
(38.999935, -94.550637)",Jackson,38.999935,-94.550637,3245,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030896
63,2020030894,5701 Elmwood Ave,Swope Parkway-Elmwood,L,64130,Metro,5,PHONE,4440,Trash / Recycling,,18,30,Dumping,Trash / Recycling Dumping,TRASH_RECYCLING,VISIBLE,NHS,NHS-Solid Waste-Illegal Dumping,Trash / Recycling-Dumping-ROW Central,Right of Way Central,2/29/2020,11:37 AM,2,2020,RESOL,Y,3/18/2020,3,2020,18,"5701 Elmwood Ave64130
(39.02177, -94.530824)",Jackson,39.02177,-94.530824,38107,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030894
66,2020030891,2214 E Truman Rd,18th And Vine And Downtown East,L,64127,Central,3,WEB,1030,Trash / Recycling,,9,73,Nuisance,Trash / Recycling Nuisance,TRASH_RECYCLING,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Trash on Private Property,2/29/2020,10:49 AM,2,2020,RESOL,N,3/9/2020,3,2020,9,"2214 E Truman Rd64127
(39.095194, -94.555368)",Jackson,39.095194,-94.555368,12506,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030891
67,2020030898,2710 Indiana Ave,Santa Fe,L,64128,East,3,PHONE,4440,Trash / Recycling,,131,4,Nuisance,Trash / Recycling Nuisance,TRASH_RECYCLING,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Trash on Private Property,2/29/2020,11:52 AM,2,2020,RESOL,Y,7/9/2020,7,2020,131,"2710 Indiana Ave64128
(39.076309, -94.543674)",Jackson,39.076309,-94.543674,24369,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030898
81,2020030450,2904 Benton Blvd,Santa Fe,L,64128,East,3,PHONE,4440,Animals / Pets,,0,603,Bite,Animals / Pets Bite,ANIMAL,NOT_VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Bite-Stray,Stray,2/28/2020,1:33 PM,2,2020,RESOL,N,2/28/2020,2,2020,0,"2904 Benton Blvd64128
(39.072215, -94.549764)",Jackson,39.072215,-94.549764,24705,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030450
108,2020030354,3347 Montgall Ave,Oak Park Northwest,L,64128,East,3,PHONE,4440,Animals / Pets,,0,603,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Aggressive,At Large - Aggressive,2/28/2020,11:26 AM,2,2020,RESOL,N,2/28/2020,2,2020,0,"3347 Montgall Ave64128
(39.064521, -94.551616)",Jackson,39.064521,-94.551616,25533,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030354
116,2020030260,2719 E 27th St,Santa Fe,L,64128,East,3,PHONE,4440,Animals / Pets,,0,603,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Aggressive,At Large - Aggressive,2/28/2020,10:06 AM,2,2020,RESOL,N,2/28/2020,2,2020,0,"2719 E 27th St64128
(39.076707, -94.550241)",Jackson,39.076707,-94.550241,24481,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030260
117,2020030456,2809 E Linwood Blvd,Oak Park Northwest,L,64128,East,3,PHONE,4440,Animals / Pets,,0,603,Stray,Animals / Pets Stray,ANIMAL,VISIBLE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Non-Aggressive,At Large - Non-Aggressive,2/28/2020,1:37 PM,2,2020,RESOL,N,2/28/2020,2,2020,0,"2809 E Linwood Blvd64128
(39.067661, -94.550085)",Jackson,39.067661,-94.550085,25238,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030456
144,2020030016,1020 Benton Blvd,Independence Plaza,L,64127,East,3,WEB,1030,Lights / Signals,,3,467,Street Light,Lights / Signals Street Light,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-Streetlights,Lights / Signals-Street Light-Blinking,Blinking,2/28/2020,2:01 AM,2,2020,RESOL,N,3/2/2020,3,2020,3,"1020 Benton Blvd64127
(39.10077, -94.544682)",Jackson,39.10077,-94.544682,11018,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030016
145,2020030017,1106 Benton Blvd,Independence Plaza,L,64127,East,3,WEB,1030,Lights / Signals,,3,467,Street Light,Lights / Signals Street Light,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-Streetlights,Lights / Signals-Street Light-1 light out,1 Light Out,2/28/2020,2:02 AM,2,2020,RESOL,N,3/2/2020,3,2020,3,"1106 Benton Blvd64127
(39.100058, -94.544811)",Jackson,39.100058,-94.544811,10955,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030017
146,2020030018,1102 Benton Blvd,Independence Plaza,L,64127,East,3,WEB,1030,Lights / Signals,,0,603,Street Light,Lights / Signals Street Light,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-Streetlights,Lights / Signals-Street Light-Blinking,Blinking,2/28/2020,2:06 AM,2,2020,DUP,N,2/28/2020,2,2020,0,"1102 Benton Blvd64127
(39.100233, -94.54473)",Jackson,39.100233,-94.54473,10954,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030018
147,2020030019,3037 Independence Blvd,Independence Plaza,L,64124,East,3,WEB,1030,Lights / Signals,,3,467,Street Light,Lights / Signals Street Light,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-Streetlights,Lights / Signals-Street Light-Blinking,Blinking,2/28/2020,2:07 AM,2,2020,RESOL,N,3/2/2020,3,2020,3,"3037 Independence Blvd64124
(39.105787, -94.544347)",Jackson,39.105787,-94.544347,10284,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030019
156,2020030382,3445 Brooklyn Ave,Key Coalition,L,64109,Central,3,PHONE,4440,Lights / Signals,,5,258,Traffic Signal,Lights / Signals Traffic Signal,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Capital Projects-Traffic Signals,Lights / Signals-Traffic Signal-Signal flashing,Signal Flashing,2/28/2020,11:53 AM,2,2020,RESOL,N,3/4/2020,3,2020,5,"3445 Brooklyn Ave64109
(39.063046, -94.557595)",Jackson,39.063046,-94.557595,126574,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030382
159,2020030591,721 Cambridge Ave,Sheffield,L,64125,East,4,PHONE,4440,Mowing / Weeds,,3,467,Alley,Mowing / Weeds Alley,MOWING_WEEDS_TRASH,VISIBLE,Public Works,Public Works-Street and Traffic-District 2,Mowing / Weeds-Alley-District 2,District 2,2/28/2020,3:38 PM,2,2020,RESOL,N,3/2/2020,3,2020,3,"721 Cambridge Ave64125
(39.102678, -94.501402)",Jackson,39.102678,-94.501402,5131,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030591
174,2020030494,1820 Spruce Ave,East Community Team North,L,64127,East,3,PHONE,4440,Property / Buildings / Construction,,7,177,Dangerous Building,Property / Buildings / Construction Dangerous Building,PROPERTY_DANGEROUS_BLDG,VISIBLE,NHS,NHS-Neighborhood Preservation-Open Entry,Prop/Build/Construct-Dangerous Building-Open to entry,Open To Entry,2/28/2020,2:00 PM,2,2020,RESOL,Y,3/6/2020,3,2020,7,"1820 Spruce Ave64127
(39.089326, -94.532688)",Jackson,39.089326,-94.532688,18336,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030494
244,2020030588,726 Winchester Ave,Sheffield,L,64125,East,4,PHONE,4440,Property / Buildings / Construction,,5,258,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Other Property Issue,2/28/2020,3:34 PM,2,2020,RESOL,N,3/4/2020,3,2020,5,"726 Winchester Ave64125
(39.102492, -94.500927)",Jackson,39.102492,-94.500927,5126,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030588
284,2020030012,3118 E 9th St,Independence Plaza,L,64124,East,3,WEB,1030,Property / Buildings / Construction,,180,424,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,2/28/2020,1:52 AM,2,2020,OPEN,N,,,,,"3118 E 9th St64124
(39.102587, -94.545158)",Jackson,39.102587,-94.545158,10277,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030012
296,2020030515,5612 Paloma Ave,South Blue Valley,L,64128,East,3,PHONE,4440,Property / Buildings / Construction,,180,424,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Other Property Issue,2/28/2020,2:14 PM,2,2020,OPEN,Y,,,,,"5612 Paloma Ave64128
(39.069661, -94.517396)",Jackson,39.069661,-94.517396,22038,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030515
308,2020030014,919 Benton Blvd,Lykins,L,64127,East,3,WEB,1030,Property / Buildings / Construction,,180,424,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,2/28/2020,2:00 AM,2,2020,OPEN,N,,,,,"919 Benton Blvd64127
(39.101528, -94.543948)",Jackson,39.101528,-94.543948,11000,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030014
374,2020030338,3118 Prospect Ave,Key Coalition,L,64109,East,3,PHONE,4440,Public Health,,10,59,Food Establishment,Public Health Food Establishment,PUBLIC_HEALT_SAFETY_WORKS,NOT_VISIBLE,Health,Health-Food Protection-,Public Health-Food Establishment-Restaurant,Restaurant,2/28/2020,11:18 AM,2,2020,RESOL,N,3/9/2020,3,2020,10,"3118 Prospect Ave64109
(39.069153, -94.554077)",Jackson,39.069153,-94.554077,263287,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030338
377,2020030496,1820 Spruce Ave,East Community Team North,L,64127,East,3,PHONE,4440,Public Health,,3,467,Outdoor Air Quality,Public Health Outdoor Air Quality,PUBLIC_HEALT_SAFETY_WORKS,VISIBLE,Health,Health-Air Quality-,Public Health-Outdoor Air Quality-All,All,2/28/2020,2:01 PM,2,2020,RESOL,N,3/2/2020,3,2020,3,"1820 Spruce Ave64127
(39.089326, -94.532688)",Jackson,39.089326,-94.532688,18336,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030496
379,2020030423,7033 Walrond Ave,Self Help Neighborhood Council,L,64132,Metro,5,PHONE,4440,Public Health,,17,34,Services,Public Health Services,PUBLIC_HEALT_SAFETY_WORKS,NOT_VISIBLE,Health,Health-Healthy Homes-,Public Health-Services-Healthy Homes Information,Healthy Homes Information,2/28/2020,12:46 PM,2,2020,RESOL,Y,3/16/2020,3,2020,17,"7033 Walrond Ave64132
(38.998302, -94.549553)",Jackson,38.998302,-94.549553,3186,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030423
382,2020030594,3020 Benton Blvd,Santa Fe,L,64128,East,3,PHONE,4440,Public Health,,17,34,Services,Public Health Services,PUBLIC_HEALT_SAFETY_WORKS,NOT_VISIBLE,Health,Health-Healthy Homes-,Public Health-Services-Healthy Homes Information,Healthy Homes Information,2/28/2020,3:41 PM,2,2020,RESOL,Y,3/16/2020,3,2020,17,"3020 Benton Blvd64128
(39.070498, -94.549827)",Jackson,39.070498,-94.549827,229300,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030594
389,2020030152,3538 Jackson Ave,Palestine East,L,64128,East,3,PHONE,4440,Sidewalks / Curbs / Ditch,,3,467,Damage / Dis-Repair,Sidewalks / Curbs / Ditch Damage / Dis-Repair,SIDEWALK,VISIBLE,Public Works,Public Works-Capital Projects-Sidewalks,Sidewalks / Curbs / Ditch-Damage / Dis-Repair-Private Property,Private Property (ROW),2/28/2020,8:20 AM,2,2020,RESOL,N,3/2/2020,3,2020,3,"3538 Jackson Ave64128
(39.060732, -94.535207)",Jackson,39.060732,-94.535207,27699,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030152
401,2020030361,2806 E 30th St,Santa Fe,L,64128,East,3,PHONE,4440,Storm Water / Sewer,,18,30,Sewer Backup / Leak,Storm Water / Sewer Sewer Backup / Leak,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Wastewater,Sewer-Sewer Backup / Leak-In a house,In A House,2/28/2020,11:34 AM,2,2020,RESOL,Y,3/17/2020,3,2020,18,"2806 E 30th St64128
(39.071872, -94.550191)",Jackson,39.071872,-94.550191,24708,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030361
403,2020030664,2004 Poplar Ave,East Community Team North,L,64127,East,3,PHONE,4440,Storm Water / Sewer,,4,337,Sewer Backup / Leak,Storm Water / Sewer Sewer Backup / Leak,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Wastewater,Sewer-Sewer Backup / Leak-In a house,In A House,2/28/2020,4:56 PM,2,2020,RESOL,N,3/3/2020,3,2020,4,"2004 Poplar Ave64127
(39.086779, -94.525649)",Jackson,39.086779,-94.525649,18776,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030664
405,2020030644,4623 E 8th St,Lykins,L,64124,East,3,PHONE,4440,Storm Water / Sewer,,4,337,Sewer Backup / Leak,Storm Water / Sewer Sewer Backup / Leak,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Wastewater,Sewer-Sewer Backup / Leak-In a house,In A House,2/28/2020,4:38 PM,2,2020,RESOL,N,3/3/2020,3,2020,4,"4623 E 8th St64124
(39.102428, -94.526939)",Jackson,39.102428,-94.526939,7793,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030644
426,2020030645,2019 Monroe Ave,East Community Team North,L,64127,East,3,PHONE,4440,Streets / Roadways / Alleys,,8,161,Other-Maintenance,Streets / Roadways / Alleys Other-Maintenance,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-District 2,Streets/Roadways/Alleys-Other Maintenance-District 2,District 2,2/28/2020,4:38 PM,2,2020,RESOL,N,3/7/2020,3,2020,8,"2019 Monroe Ave64127
(39.08675, -94.539045)",Jackson,39.08675,-94.539045,15103,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030645
432,2020030432,701 E Missouri Ave,Columbus Park,L,64106,Central,4,EMAIL,248,Streets / Roadways / Alleys,,4,337,Pothole,Streets / Roadways / Alleys Pothole,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-District 2,Streets / Roadways / Alleys-Pothole-District 2,District 2,2/28/2020,12:56 PM,2,2020,RESOL,N,3/3/2020,3,2020,4,"701 E Missouri Ave64106
(39.108039, -94.574573)",Jackson,39.108039,-94.574573,39473,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030432
476,2020030236,4701 Blue Pkwy,Swope Parkway-Elmwood,L,64130,Metro,5,EMAIL,248,Streets / Roadways / Alleys,,6,207,Pothole,Streets / Roadways / Alleys Pothole,ROADS_LIGHTS_SIGNS,VISIBLE,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,District 3,2/28/2020,9:46 AM,2,2020,RESOL,Y,3/5/2020,3,2020,6,"4701 Blue Pkwy64130
(39.034421, -94.529961)",Jackson,39.034421,-94.529961,33476,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020030236
