,NBH_ID,NBH_NAME,Median income,Income Level,Median home value,Total population age 25+ years with a bachelor's degree or higher,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households
212,116,Swope Parkway-Elmwood,28156,L,79060,73,104,648,3,32,64,219,344
213,58,Oak Park Northwest,27957,L,44850,30,44,666,0,33,151,160,306
214,29,East Community Team North,27803,L,62380,34,143,358,10,301,121,155,328
215,14,Columbus Park,27778,L,165800,332,742,502,63,208,89,540,730
216,1,Columbus Park Industrial,27778,L,165800,332,742,502,63,208,89,540,730
217,114,Mount Cleveland,27553,L,56500,99,11,600,13,65,95,255,435
218,124,Self Help Neighborhood Council,27038,L,53466,72,94,876,0,16,110,228,411
219,5,Paseo West,26766,L,92649,171,405,821,143,163,83,359,464
220,76,North Hyde Park,26525,L,203700,169,380,298,0,104,126,295,411
221,118,North Town Fork Creek,26493,L,62057,62,14,595,3,29,103,180,350
222,26,18th And Vine And Downtown East,26363,L,103350,58,105,717,10,35,139,398,459
223,65,Boulevard Village,25996,L,21500,99,33,785,0,0,178,466,493
224,66,Dunbar,25996,L,21500,99,33,785,0,0,178,466,493
225,57,Santa Fe,25792,L,50125,48,70,695,3,22,150,186,320
226,24,Forgotten Homes,25546,L,126750,151,207,1039,22,97,120,548,619
227,32,Central Blue Valley And Park Tower Gardens,24993,L,49766,6,150,425,8,179,107,240,328
228,56,Key Coalition,24450,L,42200,36,36,574,5,36,200,154,309
229,17,Lykins,24377,L,45912,25,150,258,27,310,101,155,275
230,16,Independence Plaza,24308,L,84780,88,168,604,29,145,107,311,406
231,46,Leeds,24107,L,9999,18,376,143,9,174,74,168,402
232,21,Sheffield,23979,L,44880,40,230,108,32,522,80,180,334
233,194,Chaumiere,23787,L,102350,78,798,246,23,6,108,210,426
234,31,South Blue Valley,22785,L,33499,13,202,313,1,264,109,192,336
235,62,Palestine East,21971,L,34900,6,10,464,0,24,92,118,211
236,48,Vineyard Northwest,20142,L,53500,19,91,669,0,61,91,202,379
237,115,Sheraton Estates,20041,L,69800,166,23,845,17,99,59,387,608
238,33,West Blue Valley,17634,L,48550,98,318,131,19,769,109,250,411
239,23,Parkview,14615,L,73383,73,167,857,84,199,84,395,437
