,NBH_ID,NBH_NAME,Median income,Income Level,Median home value,Total population age 25+ years with a bachelor's degree or higher,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households
49,152,Mission Lake,80428,M,198933,375,673,192,40,97,15,87,413
50,77,Central Hyde Park,80152,M,341500,458,539,100,78,82,91,256,444
51,234,Meadowbrook Heights,78995,M,162400,450,1513,126,26,91,0,128,682
52,111,Rolling Meadows,78986,M,167100,260,460,126,0,0,0,90,328
53,106,Tower Homes,77968,M,182780,568,867,130,19,51,37,188,557
54,2,River Market,77700,M,252800,1501,2019,201,112,138,206,1211,1496
55,220,Platte Brook North,73960,M,215900,725,1717,322,28,199,22,584,1007
56,209,Winnetonka,73875,M,115100,148,929,133,49,188,0,187,471
57,181,Fairway Hills,73289,M,121200,285,1128,833,84,419,93,110,880
58,221,The Coves,71767,M,266200,595,1339,111,12,127,47,276,701
59,83,West Plaza,71120,M,196680,581,847,54,50,76,112,378,601
60,7,Crossroads,70810,M,242650,476,634,69,2,51,35,357,458
61,219,Barry Harbour,70310,M,202700,409,1148,188,7,146,22,494,731
62,214,Clayton,69426,M,162466,306,1102,233,9,118,12,167,581
63,195,Colonial Square,68700,M,110700,107,562,84,36,69,6,139,312
64,110,Waldo Homes,68125,M,139300,626,998,65,0,14,44,197,669
65,185,Blue Ridge Farms,67929,M,154700,330,692,142,0,114,25,62,442
66,184,Martin City,67383,M,214600,268,573,96,0,74,41,78,314
67,82,Plaza Westport,67012,M,388550,545,842,40,27,78,122,470,619
68,153,Woodbridge,66875,M,159350,308,595,71,7,64,25,78,339
69,226,Hawthorne And Picture Hills,65824,M,168850,494,1360,244,26,154,83,283,799
70,225,Linden Park,65824,M,168850,494,1360,244,26,154,83,283,799
71,203,Country Club Estates And Big Shoal,65568,M,115300,115,766,30,0,120,73,101,328
72,138,Western Hills,65382,M,151650,408,835,110,9,111,15,119,562
73,157,St Catherines Gardens,64869,M,140400,414,872,312,31,77,42,100,501
74,104,Oak Meyer Gardens,64750,M,247200,663,1051,36,56,0,0,74,487
75,158,Royal Oaks,64412,M,146600,386,983,417,35,134,35,120,540
76,68,Squier Park,64375,M,170100,159,396,406,0,68,38,136,330
77,222,Platte Ridge,63500,M,150500,526,1708,439,330,266,0,447,1170
78,211,Gracemor-Randolph Corners,63034,M,123800,127,815,108,2,126,15,141,422
79,74,Hanover Place,62916,M,221675,349,626,162,32,44,150,396,510
80,41,Sterling Gardens,62296,M,108500,108,605,270,9,56,13,59,387
81,10,Crown Center,61253,M,206400,452,644,124,35,45,75,326,517
82,215,Lakeview Terrace,61104,M,303550,347,778,125,218,189,57,273,565
83,133,Strupwood,60769,M,116700,91,228,226,0,24,11,52,234
84,132,Swope Park Ridge-Winchester,60769,M,116700,91,228,226,0,24,11,52,234
85,85,Country Club Plaza,60669,M,619050,549,968,34,23,20,173,608,741
86,159,Terrace Lake Gardens,60368,M,99000,392,1491,256,56,240,0,161,754
87,206,Maple Park West,60028,M,104750,173,811,38,50,77,17,71,345
88,180,Glen Lake,59671,M,163100,409,1070,469,0,34,108,167,633
89,202,Sherwood Estates,59569,M,135900,222,821,6,24,71,8,63,451
90,201,Glenhaven,58713,M,113100,140,950,37,33,70,25,223,484
91,165,White Oak,58689,M,108600,117,348,477,25,89,25,61,335
92,160,Calico Farms,58238,M,157366,307,685,327,40,119,76,263,569
93,238,Jefferson Highlands,57547,M,131166,204,969,78,6,140,16,108,428
94,197,Cooley Highlands S,56926,M,131966,120,792,148,70,62,34,174,366
95,190,River View,56404,M,139900,209,615,62,6,71,156,286,419
96,230,Line Creek And Northern Heights,56358,M,160150,398,1497,357,139,229,72,271,835
97,4,CBD Downtown,56325,M,191933,860,1226,479,105,90,101,948,1123
98,140,Boone Hills,56089,M,143475,263,510,179,9,74,31,173,410
99,177,Country Valley-Hawthorn Square,56044,M,156425,434,1513,298,41,93,63,327,938
100,81,Old Westport,55929,M,177200,679,982,47,0,37,57,695,770
101,109,West Waldo,55605,M,159350,361,745,51,4,77,16,183,454
102,80,Southmoreland,55312,M,189260,454,629,96,54,34,63,303,492
103,105,Holmes Park,55277,M,205550,456,771,110,30,229,0,129,473
104,86,Park Central-Research Park,55240,M,526866,358,943,149,41,30,79,397,514
105,6,Hospital Hill,55146,M,215766,388,560,157,35,49,51,352,442
106,78,South Hyde Park,55095,M,195833,475,639,129,55,53,86,269,449
107,192,Davidson,55012,M,123933,248,826,249,93,150,40,289,548
108,210,Maple Park,54397,M,114100,82,1171,7,0,0,104,131,530
109,70,Volker,54218,M,210880,457,770,43,25,129,41,307,510
110,42,Stayton Meadows,53907,M,99075,152,667,190,9,59,54,93,404
111,216,Tanglewood And Regency North,53862,M,192966,483,1564,468,80,111,60,563,927
112,167,Robandee South,53750,M,86800,106,368,1393,0,25,124,298,482
113,9,Westside South,53522,M,163050,327,425,143,1,374,79,251,504
114,169,Hickman Mills South,53250,M,66050,104,394,328,0,30,34,97,306
115,208,Hill Haven,53228,M,58000,217,648,155,137,59,52,493,533
116,237,Sherrydale,52946,M,139600,444,1339,335,28,205,37,485,811
117,108,Ward Parkway Plaza,52813,M,153400,269,618,67,0,48,8,61,379
118,191,Crestview,52741,M,113900,212,748,136,83,70,86,245,456
119,188,Briarcliff West,52030,M,286599,425,814,194,109,72,114,548,704
120,72,Roanoke,51719,M,389600,281,453,10,13,0,49,129,268
121,40,Sterling Acres,51439,M,100950,98,536,133,0,83,51,103,365
122,199,Holiday Hills,51379,M,112600,84,597,0,0,227,0,100,356
123,162,Fairlane,51085,M,85800,173,288,836,5,143,86,240,525
124,8,Westside North,50958,M,210200,379,525,148,9,278,87,376,542
125,139,Santa Fe Hills,50182,M,126133,258,405,301,31,42,26,303,455
126,39,Riss Lake,49849,M,99100,147,582,525,4,85,79,287,570
127,193,Antioch Acres,49271,M,122100,223,746,242,32,191,15,221,556
128,207,Winnwood Gardens,49240,M,105400,60,519,23,6,225,0,90,317
129,179,Blue Vue Hills,48351,M,139500,324,887,472,42,84,43,274,648
130,173,Kirkside,48236,M,164400,121,361,335,7,26,26,94,329
131,61,Palestine West And Oak Park Northeast,48041,M,68650,16,52,433,0,47,100,71,191
